"","brand_name","brand_item","brand_price"
"196","노이어","린넨 레이어드 풀오버 가디건 니트 (블랙)","99000"
"197","밀리언코르","[AMBER 1058] 커버밴드 세미 루즈 스트레이트 생지 데님 팬츠 (진청)","51300"
"198","우알롱","Signature Logo Necklace","20000"
"199","토마스모어","ac1303 블랙 코팅 벨트","35000"
"200","밀로","쉘 레더 데이 백 [블랙]","108800"
"201","잠트","Norah 유니섹스 더비슈즈","178200"
"202","드베르망","크리켓 니트 베스트 (아이보리)","89000"
"203","페플","[패키지] 더블 코튼 무지 긴팔티 12종 2pack JHLT1273","36400"
"204","피스워커","Vanta Black / NewCrop","59000"
"205","포콤마","[써지컬스틸] BASICS RING","15000"
"206","바이모스","미니크로스백7_블랙(2022)","28500"
"207","아더댄","서울 스니커즈 01 [OTAU-WT04]","29370"
"208","인사일런스","볼드 리브 하프 집업 CREAM","79000"
"209","인사일런스","구르카 울 팬츠 CREAM","116000"
"210","인사일런스","미니멀 레더 벨트 BLACK","32000"
"211","인사일런스","위빙 피셔맨 샌들 WHITE","256000"
"212","라퍼지스토어","[매트블랙] 버핑레더 미니멀 포켓 블루종_Matt Black","69900"
"213","라퍼지스토어","시티보이 빅오버 옥스포드 셔츠_Off White","42000"
"214","라퍼지스토어","컴포트 레이어드 티셔츠_Black","5900"
"215","라퍼지스토어","오디너리 테이퍼드 와이드 원턱 팬츠_Black","45000"
"216","라퍼지스토어","코도반 클래식 플레인 슈즈_Black","212000"
"217","인사일런스","오픈 칼라 그리드 니트 NATURAL CREAM","98000"
"218","플랙","깡스타일리스트 X 플랙 스티즈 K39 인디고","79000"
"219","프랭크커스텀","FT 7180 C03","117500"
"220","던스트","CLASSIC 28 LEATHER BAG BLACK_M_UDBA2E201BK","199000"
"221","브랜즈","[프리미엄] 에베레스트 5cm키높이 스니커즈","73400"
"222","라퍼지스토어","시티보이 빅오버 옥스포드 셔츠_Royal Blue","42000"
"223","쿠어","수피마 코튼 슬라우치 트라우져 (아이보리)","94500"
"224","스칼렛또블랙","BW028 [써지컬스틸] 트리플체인 팔찌","11900"
"225","파인드카푸어","마크백 12 크링클드 - 아이보리 1010812","139000"
"226","요위","Uon_Ivory","245000"
"227","리센느","콤피 울 니트(브라운)","49500"
"228","누아클레","크리즈 와이드 데님 팬츠","74700"
"229","하우데어","실버뱅글팔찌 ring my bell - minimal silver bangle","59000"
"230","모노플럭스","Epsom Pocket Clutch Bag Beige","49900"
"231","로맨틱무브","투데이즈 더비 R21M046 (아이보리 스웨이드)","119000"
